Code,Price,Cost
AK1001 ,,0.971
AK1002 ,,1.18
AK1003 ,,1.66
AK1004 ,,1.77
AK1005 ,,1.96
AK1006 ,,3.01
AK1007 ,,4.34
AK1008 ,,5.795
AK1009 ,,10.37
AK1013 ,,1.368
AK1014 ,,1.576
AK1015 ,,2.17
AK1016 ,,2.706
AK1017 ,,3.58
AK1018 ,,5.751
AK1019 ,,8.778
AK1020 ,,12.699
AK1021 ,,20.913
AK1023 ,,44.73
AK1050 ,,1.682
AK1051 ,,2.048
AK1052 ,,3.21
AK1053 ,,4.17
AK1054 ,,5.42
AK1055 ,,8.412
AK1057 ,,21.94
AK1058 ,,37.345
